LINE_PRICE	CUST_CODE	CUST_FNAME	LINE_QTY	CUST_LNAME	CUST_STREET	PROD_SKU	CUST_CITY	INV_TOTAL	CUST_STATE	LINE_NUM	CUST_ZIP	INV_NUM	CUST_BALANCE	EMPLOYEE_ID	INV_DATE
3.29	86	RUBY	5	HUDSON	1013 SNOWLINE DRIVE	8937-WVA	Fayetteville	318.32	NC	4	28305	1833	1482.35	83792	41486
6.59	87	MICHEAL	3	KIRKLAND	1027 POLLOCK DRIVE	2366-EFV	Greenback	93.94	TN	3	37742	1616	642.45	83565	41463
21.59	88	LINO	3	VIGIL	1201 BARNES AVENUE	8523-UCB	Alquina	252.15	IN	5	47331	1533	1329.78	83621	41454
14.99	89	MONICA	4	CANTRELL	697 ADAK CIRCLE	4784-SLU	Loachapoka	314.25	AL	4	36865	3413	1255.46	84191	41651
43.99	90	HELEN	3	GOLDMAN	1823 HORIZON STREET	6488-MIG	Catawba Heights	287.89	NC	3	28012	2352	935.5	83792	41541
29.99	91	ALEXANDRA	4	PENNINGTON	481 CHALLENGER CIRCLE	9955-WWB	Aurora	119.96	IN	1	47001	2674	508.86	84420	41574
23.99	92	CARLENE	5	GONZALEZ	1162 CAMPBELL CREEK ROAD	3955-NWD	Escanaba	153.93	MI	3	49829	1336	1989	83878	41434
10.99	93	CIARA	2	BASSETT	1977 SEAWOLF DRIVE	5587-PIP	Hope	81.93	ME	2	4847	2347	1045.64	84191	41540
9.99	94	DOMINICK	2	PHELPS	62 EAST 25TH COURT	4812-CMJ	Upton	196.84	PA	4	17225	315	524.5	84049	41326
6.59	95	WILMA	3	DUNLAP	1575 KING WAY DRIVE	1045-DUY	Bovina Center	180.67	NY	5	13740	844	2602.7	84078	41383
14.59	96	ROLANDA	3	TRUJILLO	1415 AUDUBON DRIVE	4200-FTI	Calverton	374.81	NY	6	11933	1907	1636.82	84078	41493
12.99	97	ERWIN	1	ANDERSON	884 PLEASANT DRIVE	5625-FVF	Kingston	12.99	RI	1	2881	3341	2895.49	83565	41642
12.59	98	VALENTIN	4	MARINO	1377 RUSHWOOD CIRCLE	1838-LZI	White Plains	209.42	NY	4	10629	2505	448.1	84219	41556
38.99	99	MINERVA	2	VENTURA	582 WINGATE CIRCLE	6865-HAO	West Medford	77.98	MA	1	2156	2223	1818.09	84276	41526
35.99	100	VELDA	2	NAVARRO	145 CRESCENT DRIVE	1203-AIS	Tampa	122.95	FL	2	33681	2118	389.63	83878	41515
