"CUST_BALANCE","CUST_CITY","CUST_CODE","CUST_FNAME","CUST_LNAME","CUST_STATE","CUST_STREET","CUST_ZIP","EMPLOYEE_ID","INV_DATE","INV_NUM","INV_TOTAL","LINE_NUM","LINE_PRICE","LINE_QTY","PROD_SKU"
1482.35,"Fayetteville",86,"RUBY","HUDSON","NC","1013 SNOWLINE DRIVE",28305,83792,41486,1833,318.32,4,3.29,5,"8937-WVA"
642.45,"Greenback",87,"MICHEAL","KIRKLAND","TN","1027 POLLOCK DRIVE",37742,83565,41463,1616,93.94,3,6.59,3,"2366-EFV"
1329.78,"Alquina",88,"LINO","VIGIL","IN","1201 BARNES AVENUE",47331,83621,41454,1533,252.15,5,21.59,3,"8523-UCB"
1255.46,"Loachapoka",89,"MONICA","CANTRELL","AL","697 ADAK CIRCLE",36865,84191,41651,3413,314.25,4,14.99,4,"4784-SLU"
935.5,"Catawba Heights",90,"HELEN","GOLDMAN","NC","1823 HORIZON STREET",28012,83792,41541,2352,287.89,3,43.99,3,"6488-MIG"
508.86,"Aurora",91,"ALEXANDRA","PENNINGTON","IN","481 CHALLENGER CIRCLE",47001,84420,41574,2674,119.96,1,29.99,4,"9955-WWB"
1989,"Escanaba",92,"CARLENE","GONZALEZ","MI","1162 CAMPBELL CREEK ROAD",49829,83878,41434,1336,153.93,3,23.99,5,"3955-NWD"
1045.64,"Hope",93,"CIARA","BASSETT","ME","1977 SEAWOLF DRIVE",4847,84191,41540,2347,81.93,2,10.99,2,"5587-PIP"
524.5,"Upton",94,"DOMINICK","PHELPS","PA","62 EAST 25TH COURT",17225,84049,41326,315,196.84,4,9.99,2,"4812-CMJ"
2602.7,"Bovina Center",95,"WILMA","DUNLAP","NY","1575 KING WAY DRIVE",13740,84078,41383,844,180.67,5,6.59,3,"1045-DUY"
1636.82,"Calverton",96,"ROLANDA","TRUJILLO","NY","1415 AUDUBON DRIVE",11933,84078,41493,1907,374.81,6,14.59,3,"4200-FTI"
2895.49,"Kingston",97,"ERWIN","ANDERSON","RI","884 PLEASANT DRIVE",2881,83565,41642,3341,12.99,1,12.99,1,"5625-FVF"
448.1,"White Plains",98,"VALENTIN","MARINO","NY","1377 RUSHWOOD CIRCLE",10629,84219,41556,2505,209.42,4,12.59,4,"1838-LZI"
1818.09,"West Medford",99,"MINERVA","VENTURA","MA","582 WINGATE CIRCLE",2156,84276,41526,2223,77.98,1,38.99,2,"6865-HAO"
389.63,"Tampa",100,"VELDA","NAVARRO","FL","145 CRESCENT DRIVE",33681,83878,41515,2118,122.95,2,35.99,2,"1203-AIS"
2949.67,"Reese",101,"LEONORA","FARRELL","NC","2 EAST DOWLING ROAD",28692,83964,41629,3204,53.37,1,17.79,3,"4153-VMO"
1233.12,"Queen",102,"EVA","KAISER","PA","1084 LUNAR CIRCLE",16670,83993,41505,2026,105.24,3,8.99,3,"7538-ITC"
2122.07,"Hampden",103,"CORRINA","GIFFORD","WV","1651 HIGHTOWER ROAD",25623,84306,41620,3123,229.84,5,21.99,4,"7532-PYJ"
495.41,"Pine",104,"THAD","RUIZ","NY","966 VALARIAN STREET",12203,83593,41589,2820,43.18,1,21.59,2,"5379-BLX"
2019.38,"Neelyton",105,"FRANCIS","TRUJILLO","PA","1921 WEST 74TH AVENUE",17239,83763,41396,977,245.38,5,6.59,4,"1045-DUY"
1265.16,"East Monkton",106,"MELONIE","JIMENEZ","VT","848 DOWNEY FINCH LANE",5443,84392,41485,1826,153.26,5,4.29,3,"2410-SKH"
589.23,"Cliftonville",107,"RAY","KEYES","MS","303 TEEKOANA CIRCLE",39739,84364,41407,1086,126.93,3,29.99,1,"4987-BFL"
1123.4,"Crescent Beach",108,"GONZALO","WHITNEY","FL","1567 WALLACE MOUNTAIN ROAD",34242,83565,41619,3108,160.17,3,7.49,5,"6041-PBS"
0,"Harts Store",109,"SAL","STRATTON","NC","985 OSTOVIA CIRCLE",27022,84334,41606,2989,234.2,6,7.59,3,"2200-DAI"
0,"Cran Nav Dpo",110,"CRISTINA","SOSA","IN","904 PINNACLE CIRCLE",47522,83906,41511,2075,19.77,1,6.59,3,"2366-EFV"
0,"Wyano",111,"JOSE","CASE","PA","640 WEST 71ST COURT",15695,83936,41597,2899,99.95,2,11.99,1,"6249-LYB"
4760.14,"Pittsburgh",112,"LAN","NICHOLS","PA","367 LAKEVIEW DRIVE",15262,84191,41580,2727,380.82,6,23.99,5,"7231-UES"
657.57,"Cochecton",113,"KORY","GOULD","NY","1949 HUMPHREY DRIVE",12726,84106,41408,1095,35.96,1,8.99,4,"7538-ITC"
0,"Nauvoo",114,"MIRIAN","DIAMOND","PA","1432 POTTER GLEN CIRCLE",16938,84392,41366,685,227.67,6,20.59,1,"3701-YAW"
1989.53,"Little Hocking",115,"STACIE","SCHMITZ","OH","704 WOODLAND DRIVE",45742,84392,41493,1904,76.92,2,9.99,5,"6596-HOO"
749.61,"Saint Paris",116,"STEPHAINE","MOSLEY","OH","1372 LOREN CIRCLE",43072,84219,41456,1551,274.4,5,29.99,3,"9955-WWB"
3009.63,"Bay State",117,"KARON","MATA","MA","1073 FERN CIRCLE",1060,84276,41649,3399,483.05,6,35.99,4,"5508-OUB"
3058.55,"Bay Head",118,"JESSE","HICKS","NJ","614 SOUTH AIRPARK DRIVE",8742,83705,41647,3381,143.3,5,21.99,1,"8543-RJN"
1615.78,"Simsbury",119,"MATTIE","VERNON","CT","548 FALLING WATER DRIVE",6092,84163,41430,1304,35.99,1,35.99,1,"3393-AZQ"
1230.92,"Philadelphia",120,"BRADLEY","BRYAN","PA","1153 TOBUK CIRCLE",19116,83734,41558,2521,323.84,5,29.99,1,"2351-WVS"
341.55,"Methodist Mem Home",121,"PETER","SMALL","IN","1904 GLENN NB OFF MULDOON SB RAMP",46792,84334,41596,2892,32.95,1,6.59,5,"8544-CIQ"
1811.67,"Millwood",122,"JANNETTE","MCCARTHY","GA","1450 ORCA PLACE",31552,84334,41519,2148,283.46,5,16.99,3,"3258-RVB"
299.78,"Quaker City",123,"SHANTELL","DRAKE","OH","1901 STERLING WAY",43773,84191,41317,227,47.96,1,11.99,4,"9324-PPG"
0,"Gray",124,"LINDSAY","BARRERA","KY","496 DEGAN STREET",40734,83677,41446,1454,197.87,4,8.49,4,"4949-VFI"
81.57,"Merrill",125,"FLORENTINO","ROJAS","NY","1211 JESSE LEE COURT",12955,83705,41435,1353,271.85,5,4.59,5,"4900-YSQ"
3341.8,"Borden Shaft",126,"DOLLY","MICHAEL","MD","1359 SWEETWATER CIRCLE",21532,83537,41614,3058,636.21,5,38.99,3,"2455-ZKN"
1039.74,"Hartleyville",127,"CORRINA","DENNIS","IN","1021 CARNABY WAY",47421,83677,41591,2836,407.9,2,32.99,5,"2857-NDO"
2050.86,"Harrisburg",128,"REGGIE","CAREY","PA","644 INNES CIRCLE",17128,84306,41441,1403,105.16,2,48.59,2,"9126-PWF"
